Judul,Tanggal,Url,Artikel,Category
"Waspadai Tanda Kolesterol Tinggi yang Muncul di Dada, Begini Saran Dokter","Minggu, 01 Sep 2024 05:00 WIB",https://health.detik.com/berita-detikhealth/d-7518306/waspadai-tanda-kolesterol-tinggi-yang-muncul-di-dada-begini-saran-dokter,"Masalah kolesterol tinggi apabila tidak ditangani dengan benar dapat menyebabkan berbagai penyakit bahaya. Misalnya, penyakit jantung dan stroke. Memperhatikan asupan makanan tinggi lemak bisa menjadi salah satu cara pencegahannya. Kolesterol tinggi kadang dapat dialami oleh seseorang tanpa disadari. Dr Emeka Korocha menjelaskan dalam beberapa kasus, kolesterol tinggi bisa memicu gejala serius di dada. Kolesterol tinggi pada terjadi ketika berarti kadar lipid atau lemak dalam darah terlalu tinggi. Ketika itu terjadi, lemak mulai menumpuk di seluruh tubuh. Kadar kolesterol tinggi yang menyebabkan penumpukan lemak di arteri memicu penyempitan dan penurunan aliran darah. SCROLL TO CONTINUE WITH CONTENT ""Saat arteri semakin tersumbat, hal itu yang dapat menyebabkan nyeri pada dada,"" ucap Korocha dikutip dari Mirror, Sabtu (31/8/2024). Korocha mengingatkan kolesterol tinggi umumnya tidak menunjukkan tanda peringatan dini sampai akhirnya berdampak pada organ. Oleh karena itu, ia menyarankan masyarakat untuk melakukan tes darah secara rutin. Dalam kasus kadar kolesterol yang sangat tinggi, beberapa pasien mungkin mulai mengalami benjolan lemak pada kulitnya atau lingkaran putih keabu-abuan di mata. Gejala-gejala tersebut sebagian besar dialami oleh orang dengan riwayat keluarga dengan tinggi kolesterol. Dengan begitu, kolesterol tinggi sebagai faktor risiko dari berbagai penyakit bahaya bisa dimonitor dan dikontrol dengan baik. Korocha juga menyarankan beberapa strategi yang bisa dilakukan untuk mengendalikan kolesterol. Strateginya menekankan pada pola makan yang bergizi dan tetap aktif bergerak. ""Hal terpenting yang dapat dilakukan setiap orang untuk kadar kolesterol yang sehat adalah mempertahankan gaya hidup sehat melalui makan sehat dan olahraga,"" katanya. Ia lebih lanjut juga menyarankan konsumsi buah blackberry untuk membantu 'memangkas' kolesterol jahat yang ada di dalam tubuh. Blackberry mengandung senyawa polifenol yang dapat membantu mengurangi kolesterol serta menurunkan risiko penyakit jantung. Coba makan blackberry secara langsung atau dibuat menjadi smoothie. ""Buah ini mudah dimasukkan ke dalam diet Anda, entah itu menambahkannya di sarapan, mencampurnya menjadi smoothie, memberi sedikit rasa pada hidangan gurih, atau menikmatinya dalam keadaan mentah,"" tandasnya. ",Health
"Paksu Wajib Paham, Ini 5 Cara Sederhana untuk Tingkatkan Kualitas Sperma","Sabtu, 31 Agu 2024 20:00 WIB",https://health.detik.com/sexual-health/d-7518303/paksu-wajib-paham-ini-5-cara-sederhana-untuk-tingkatkan-kualitas-sperma,"Kualitas sperma merupakan salah satu faktor penting dalam kesuburan pria. Ini dapat dipengaruhi oleh berbagai faktor seperti gaya hidup, pola makan, dan kesehatan secara keseluruhan. Meningkatkan kualitas sperma tidak hanya bermanfaat bagi peluang pembuahan, tetapi juga penting untuk kesehatan reproduksi jangka panjang. Dikutip dari Mayo Clinic, berikut ini adalah beberapa cara yang bisa dilakukan untuk meningkatkan kualitas sperma: Menjaga berat badan yang ideal merupakan faktor penting dalam menjaga kualitas sperma. Beberapa penelitian menunjukkan naiknya indeks massa tubuh dikaitkan dengan penurunan jumlah dan pergerakan dari sperma. SCROLL TO CONTINUE WITH CONTENT Menjaga berat badan ideal dapat dilakukan melalui diet yang tepat dan berolahraga. Pilihlah makanan seperti sayur dan buah yang kaya antioksidan. Kandungan antioksidan dapat ikut membantu meningkatkan kualitas sperma. Sedangkan untuk olahraga sendiri dapat meningkatkan kadar enzim antioksidan kuat yang dapat membantu melindungi sperma. Masalah stres rupanya dapat berpengaruh signifikan pada kualitas sperma seseorang. Stres dapat menurunkan fungsi seksual dan mengganggu hormon yang dibutuhkan untuk produksi sperma. Beberapa cara yang bisa dilakukan untuk menjaga tingkat stres meliputi olahraga teratur, mencari teknik relaksasi, menjaga kualitas tidur, makan makanan sehat, dan luangkan waktu untuk melakukan hobi atau hal apapun yang disukai. Infeksi menular seksual seperti klamidia dan gonore dapat menjadi masalah yang mengganggu kesuburan pria. Hindari perilaku seks berisiko dan bila memungkinkan gunakan kondom ketika berhubungan intim. Selain itu, pencegahan infeksi menular seksual bisa diminimalisir dengan pemeriksaan kesehatan rutin. Ini membantu mendeteksi dan mengobati infeksi menular seksual sejak dini dan lebih cepat. Seorang pria yang memiliki kebiasaan merokok cenderung memiliki jumlah sperma yang lebih rendah. Lakukan cara untuk berhenti merokok sama sekali atau dengan melakukan terapi tertentu. Konsumsi alkohol yang berlebihan juga dapat memengaruhi produksi testosteron dan penurunan produksi sperma. Sebaiknya perhatikan asupan alkohol jangan sampai dapat mengganggu kesuburan. Dikutip dari Healthline, beberapa bukti menunjukkan bahwa mengonsumsi suplemen antioksidan dapat membantu meningkatkan kesuburan pria. Lebih khusus lagi, suplemen vitamin C dapat membantu meningkatkan kualitas pria dan tingkat kehamilan pasangan. Selain itu, penelitian lain juga menunjukkan adanya hubungan antara kadar vitamin D rendah dengan testosteron rendah yang bisa memengaruhi kesuburan pria. ",Health
"Pro-Kontra Gaya Parenting TikToker, Sampai Mana Sih Batasan Bercanda dengan Anak?","Sabtu, 31 Agu 2024 19:00 WIB",https://health.detik.com/berita-detikhealth/d-7518438/pro-kontra-gaya-parenting-tiktoker-sampai-mana-sih-batasan-bercanda-dengan-anak,"Ramai di media sosial X seorang konten kreator keluarga dikritik netizen terkait gaya parenting. Hal tersebut disebabkan karena sang ibu yang membuat konten dinilai terlalu sering bercanda pada anak hingga membuatnya menangis. Situasi ini lantas mengundang pro-kontra netizen. Ada yang menganggap hal itu tidak masalah. Namun, ada juga yang menilai itu dapat mengganggu psikologis anak. ""Lihat anak belum genap 3 tahun udah pinter bgt makan sendiri. Mandiri bgt, mau berusaha pake sumpit sendiri. Biasanya anak seumuran rit**** makan aja susah kalau nggak diomel2in, disuapin atau kalo gak dikasih hp gak mau makan. Bangga bisa didik anak2nya jadi jd mandiri dr kecil,"" kata @can_***it yang mendukung konten kreator tersebut. SCROLL TO CONTINUE WITH CONTENT ""Video Rit**** bolak balik lewat di TL. Aku ga tau mereka sebelumnya. Sedih & ga habis pikir, Ibunya bbrp kali bikin anaknya nangis, dia tertawa memvideokan. Atau nakut2in anaknya sampai nangis,"" ucap netizen lain yang tidak setuju dengan aksi konten kreator tersebut. Terlepas dari pro dan kontra yang muncul, sebenarnya bagaimana sih cara yang tepat untuk mengetahui batasan orang tua bercanda dengan anak? Psikolog anak Wilma Maharani berpendapat, penting bagi orang tua memperhatikan cara mereka berinteraksi dengan anak, khususnya ketika bercanda. Berbeda dengan orang dewasa, anak yang masih berkembang atau berusia di bawah usia 7 tahun umumnya belum sepenuhnya memahami konsep yang abstrak. ""Sehingga sangat mungkin mereka (anak) masih menghadapi tantangan untuk membedakan antara kenyataan dan imajinasi. Masih sulit bagi mereka untuk benar-benar membedakan apakah ini adalah bercandaan atau hal serius,"" ucap Wilma ketika dihubungi detikcom, Sabtu (31/8/2024). Untuk mengetahui batasan bercanda pada anak, orang tua bisa memperhatikan bagaimana respons dan reaksi anak ketika sedang bercanda. Beberapa tanda yang bisa muncul pada anak meliputi merasa tidak nyaman, bingung, kesal, atau ciri-ciri takut. Ketika ciri-ciri tersebut muncul, itu bisa menjadi tanda bahwa candaan yang dilakukan mungkin sudah melewati batas. ""Sehingga orang tua perlu aware, perlu peka, dan sadar bahwa kita dapat mengalihkan kegiatan. Kita juga dapat menenangkan anak dan tidak melakukan aktivitas tersebut lagi,"" sambungnya. Ketika bermain dengan anak, hindari candaan yang terkesan merendahkan dan mengarah pada aspek visi atau kemampuan pada anak. Ini nantinya dapat berdampak buruk pada harga diri anak itu sendiri. Perlakuan dari orang terdekat, lingkungan, khususnya orang tua sangat memengaruhi bagaimana anak memandang diri mereka sendiri. ""Terakhir, pastikan bahwa anak dapat memahami konteks bercandaan yang sedang berlangsung saat ini. Orang tua dapat memastikan bahwa anak benar-benar aware kalau kegiatan ini adalah kegiatan bercanda, bukan hal yang serius,"" tandasnya. ",Health
"Menkes Pastikan Stok Vaksin Mpox Aman, Bakal Disuntikkan Pekan Depan!","Sabtu, 31 Agu 2024 18:00 WIB",https://health.detik.com/berita-detikhealth/d-7518343/menkes-pastikan-stok-vaksin-mpox-aman-bakal-disuntikkan-pekan-depan,"Menteri Kesehatan Budi Gunadi Sadikin memastikan stok vaksin Mpox di Indonesia sudah tersedia. Namun, bukan berarti bisa langsung diberikan kepada seluruh masyarakat. Mengingat penularan Mpox terjadi pada kelompok tertentu, prioritas sasaran vaksinasi didahulukan bagi kelompok lelaki seks lelaki (LSL). Rencananya vaksinasi bakal dilakukan pekan depan. ""Vaksin Mpox kita berikan, Mpox itu nggak mudah menular, di situ-situ saja, jarang. Itu biasanya di kelompok tertentu, penularannya kayak HIV. Jadi yang divaksinasi kelompok-kelompok rentan. Selasa nanti kita berikan,"" beber Menkes di RSCM, Jakarta Pusat, Jumat (30/8/2024). SCROLL TO CONTINUE WITH CONTENT Stok vaksin dipastikan aman, tetapi Menkes mengimbau agar masyarakat untuk menghindari risiko kontak dengan mereka yang bergejala. Gejala Mpox meliputi demam, ruam, lenting seperti benjolan berisi air. Penularan bisa terjadi tidak hanya saat berhubungan seks, tetapi saat melakukan kontak erat, dan Organisasi Kesehatan Dunia (WHO) belakangan juga tidak menampikkan kemungkinan penularan melalui droplet. ""Stok vaksin aman, tenang. Yang penting perilakunya baik. Ini penularannya sama kayak HIV,"" pungkasnya. ",Health
"7 Manfaat Rumput Laut untuk Kesehatan, Bisa Bantu Turunkan Berat Badan","Sabtu, 31 Agu 2024 17:01 WIB",https://health.detik.com/berita-detikhealth/d-7518272/7-manfaat-rumput-laut-untuk-kesehatan-bisa-bantu-turunkan-berat-badan,"Rumput laut merupakan sumber makanan bagi kehidupan laut dengan jenis yang bervariasi. Umumnya, rumput laut menjadi hidangan di negara-negara asia seperti Jepang, Korea, dan China. Mulai dari sushi hingga sup, rumput laut disukai karena rasanya yang lezat. Namun ternyata tak hanya lezat, rumput laut juga sangat bergizi dan memiliki banyak manfaat untuk kesehatan. Yuk, ketahui berbagai manfaat rumput laut. Mengkonsumsi rumput laut dapat meningkatkan asupan vitamin dan mineral, menangkal radikal bebas, hingga membantu menurunkan berat badan. Berikut informasi lengkapnya mengutip Healthline dan Medical News Today. SCROLL TO CONTINUE WITH CONTENT Setiap jenis rumput laut mungkin mempunyai nutrisi dan mineral yang berbeda. Namun, menurut sebuah studi, umumnya rumput laut merupakan sumber yang baik untuk: Pada penelitian lainnya, dikatakan bahwa berbagai rumput laut mengandung berbagai nutrisi bermanfaat seperti: Produksi radikal bebas yang berlebihan dianggap menjadi penyebab mendasar bagi beberapa penyakit seperti jantung dan diabetes. Rumput laut mengandung berbagai senyawa tanaman yang bermanfaat seperti flavonoid dan karotenoid. Keduanya dapat melindungi sel-sel tubuh dari kerusakan radikal bebas. Kelenjar tiroid berperan dalam mengontrol dan melepaskan hormon untuk produksi energi, pertumbuhan, dan perbaikan sel. Sebuah penelitian menyatakan bahwa, mengkonsumsi beberapa jenis rumput laut utuh atau produk makanan yang mengandung rumput laut bisa meningkatkan asupan yodium. Tubuh yang kurang yodium bisa menyebabkan hipotiroidisme, yaitu tiroid kurang aktif. Kondisi tersebut bisa menyebabkan gejala kelelahan, serta nyeri otot dan sendi. Selain itu, kekurangan yodium juga bisa menyebabkan gondok, yaitu pembengkakan kelenjar tiroid. Serat dalam rumput laut bisa bermanfaat untuk orang yang sedang berusaha menurunkan berat badan. Sebab, serat rendah kalori dan bisa membantu tubuh merasa kenyang. Menurut sebuah penelitian, asupan serat makanan yang tinggi menunda pengosongan lambung. Sehingga, lambung bisa menunda pengiriman sinyal lapar ke otak dan membantu mencegah makan berlebihan. Mengandung sumber serat yang sangat baik, rumput laut bisa meningkatkan kesehatan usus. Jumlah serat yang dimiliki sekitar 25%-75% dari berat rumput laut kering, lebih tinggi dari kandungan serat pada kebanyakan buah dan sayur. Serat dapat menjadi sumber makanan yang baik untuk bakteri di usus besar. Gula yang ada di rumput laut juga terbukti meningkatkan pertumbuhan bakteri baik di usus. Pada tahun 2030 diperkirakan 643 orang di dunia menderita diabetes. Dalam hal ini, rumput laut menjadi fokus penelitian untuk mencegah orang yang berisiko mengalami diabetes. Sebuah penelitian dilakukan kepada 60 orang Jepang. Hasilnya, suatu zat bernama fucoxanthin dalam rumput coklat bisa membantu meningkatkan kontrol gula darah. Studi ini juga mencatat adanya perbaikan tambahan dalam kadar gula darah pada mereka yang cenderung dalam genetik mengalami resistensi insulin. Diketahui bahwa resistensi insulin biasanya menyertai diabetes tipe 2. Makanan berserat tinggi seperti alga bisa menurunkan kadar kolesterol. Menurut jurnal Universitas PGRI Mahadewa Indonesia, rumput laut termasuk ke dalam jenis Alga Hijau. Serat larut dapat mengikat asam empedu atau garam dalam tubuh yang akhirnya bisa menurunkan kolesterol total seseorang hingga 18%. Tak hanya itu, kandungan antioksidan yang tinggi pada banyak jenis alga juga bisa mendukung kesehatan jantung dari waktu ke waktu. Itulah berbagai manfaat rumput laut untuk kesehatan. Tertarik untuk mendapatkan manfaat dari rumput laut ini?  ",Health
Bos WHO Bawa Kabar Baik soal Mpox! Bisa Jadi 6 Bulan Lagi 'Kelar',"Sabtu, 31 Agu 2024 16:01 WIB",https://health.detik.com/berita-detikhealth/d-7518210/bos-who-bawa-kabar-baik-soal-mpox-bisa-jadi-6-bulan-lagi-kelar,"Dirjen Organisasi Kesehatan Dunia (WHO) meyakini wabah Mpox di Afrika dapat dihentikan dalam waktu 6 bulan ke depan. Ia menuturkan vaksin kiriman pertama dari WHO akan tiba di Republik Demokratik Kongo dalam waktu beberapa hari. Hingga kini, Afrika baru menerima sebagian kecil dari vaksin yang dibutuhkan untuk memperlambat penyebaran virus, utamanya di RD Kongo. Tercatat ada sekitar 18 ribu suspek kasus dan 629 kematian di negara tersebut. ""Dengan kepemimpinan pemerintah dan kerjasama yang erat antara mitra, kami yakin kami dapat menghentikan wabah ini dalam 6 bulan ke depan,"" ucap Dirjen WHO Tedros Adhanom Ghebreyesus dikutip dari APNews, Sabtu (31/8/2024). SCROLL TO CONTINUE WITH CONTENT Menurut Tedros, meski penyebaran infeksi Mpox meningkat dengan cepat dalam beberapa minggu terakhir, jumlah kematian relatif sedikit. Ia menyebut ada 258 kasus Mpox varian terbaru yang teridentifikasi di Burundi, Rwanda, Kenya, Uganda, Swedia, dan Thailand. Varian baru Mpox Clade Ib disebut-sebut menjadi 'biang kerok' meningkatnya kasus di Afrika. Pada pertengahan Agustus, WHO mengumumkan wabah Mpox yang sedang berlangsung di Afrika sebagai darurat kesehatan global. Status tersebut juga sempat diberikan pada COVID-19 ketika pandemi dulu. Mpox dapat mengakibatkan gejala seperti demam, sakit kepala, dan nyeri pada tubuh. Pada kasus yang parah, infeksinya dapat memicu luka dan lepuh pada seluruh tubuh, termasuk organ vital. Penyakit ini menyebar melalui kontak fisik. ",Health
Bikin Iri! Wanita Korsel 53 Tahun Punya Wajah Awet Muda 'Bak' Masih ABG,"Sabtu, 31 Agu 2024 15:00 WIB",https://health.detik.com/berita-detikhealth/d-7518101/bikin-iri-wanita-korsel-53-tahun-punya-wajah-awet-muda-bak-masih-abg,"Seorang pemilik toko roti di Korea Selatan menjadi sorotan karena penampilannya yang awet muda meski usia sudah menginjak 53 tahun. Sosok itu adalah Lee Hyo Jong, pemilik toko roti terkenal yang ada di Gangnam, Korea Selatan. Meskipun sudah menginjak kepala lima, ia nampak seperti wanita berusia 20-an tahun. Sosoknya menjadi sorotan setelah seorang netizen mengunggah fotonya beserta informasi bahwa Lee lahir pada 1971. ""Dia benar-benar terlihat seperti seseorang berusia 20-an yang berpakaian bagus atau seseorang berusia awal 30-an yang bekerja di profesi khusus seperti penari atau artis, jujur saja,"" kata salah satu netizen dikutip dari Koreaboo, Sabtu (31/8/2024). SCROLL TO CONTINUE WITH CONTENT Hal tersebut membuat netizen tidak habis pikir. Bagaimana ia bisa memiliki penampilan awet muda seperti remaja. Sebagian menilai bahwa itu juga dipengaruhi oleh gaya berpakaian yang memang nyentrik. Meski sudah viral dan menjadi perbincangan, Lee hingga kini belum memberikan tanggapan terkait usianya. Saat ini, dirinya fokus mengelola toko roti dan juga sebuah toko busana ternama di Korea Selatan. ""Saya sangat terkejut. Saya iri dengan dia karena gaya pribadinya yang sangat kuat,"" ujar netizen lain. Melalui akun media sosial Instagram-nya, Lee tak jarang membagikan potret momen ketika ia sedang berolahraga di gym atau mengonsumsi makanan sehat. Itu menjadi salah satu langkah penting untuk menjaga kesehatannya. Dalam beberapa unggahan ia memperlihatkan menu makanannya yang sehat dan mengutamakan makanan-makanan yang minim proses seperti telur, alpukat, sayuran hijau, hingga wortel yang diparut. Meski begitu, dalam beberapa kesempatan ia juga masih makanan kesukaannya seperti pastry dan es krim. ",Health
Epidemiolog Prediksi RI Sudah Catat Mpox Varian 'Ganas': Fenomena Gunung Es,"Sabtu, 31 Agu 2024 14:00 WIB",https://health.detik.com/berita-detikhealth/d-7518029/epidemiolog-prediksi-ri-sudah-catat-mpox-varian-ganas-fenomena-gunung-es,"Menteri Kesehatan Budi Gunadi Sadikin memastikan Indonesia masih 'bebas' dari varian mematikan Mpox clade 1b. Pemerintah mengonfirmasi 88 kasus sejak 2021 hingga tahun ini, hampir seluruhnya dinyatakan sembuh. ""Belum ada lagi akhir-akhir ini. Kemarin ada 1 potensi ya tapi sekarang sedang dicek apakah itu benar-benar Mpox atau bukan,"" beber Menkes kepada detikcom Senin (26/8/2024). Menurut pakar epidemiologi Dicky Budiman dari Universitas Griffith Australia, kemungkinan besar Mpox clade 1b sudah ditemukan di Tanah Air, tetapi belum berhasil terdeteksi. Kasus Mpox digambarkan Dicky seperti fenomena gunung es. SCROLL TO CONTINUE WITH CONTENT Sejumlah kasus tidak terdeteksi karena masih melekatnya stigma Mpox hanya menyerang kelompok LSL. Padahal, risiko penularan ditegaskan Dicky bisa dari kelompok manapun. ""Jadi potensi bahwa kita sudah ada varian Clade 1b itu tidak aneh,"" beber Dicky saat dihubungi terpisah, Senin (26/8). Meski begitu, Dicky meyakini penyebaran kasus Mpox di Indonesia tidak akan meningkat signifikan seperti Afrika. Banyak faktor yang melatarbelakangi mengapa Afrika tak kunjung 'bebas' dari Mpox. ""Di Afrika itu banyak yang mempercepat penularan, selain perilaku makan daging liar di hutan, juga termasuk kegiatan seks bebas, jual-beli seks yang juga jauh dari keamanan kesehatan,"" pungkasnya. ",Health
"Heboh Pro-Kontra Gaya Parenting Konten Kreator TikTok, Begini Kata Psikolog","Sabtu, 31 Agu 2024 13:00 WIB",https://health.detik.com/berita-detikhealth/d-7517953/heboh-pro-kontra-gaya-parenting-konten-kreator-tiktok-begini-kata-psikolog,"Media sosial X tengah diramaikan dengan perdebatan soal gaya parenting salah satu konten kreator Indonesia yang membuat vlog keluarga. Dalam banyak kontennya, sang ibu yang tinggal di Jepang ini kerap bercanda dengan anaknya hingga marah dan menangis. Konten tersebut lantas mengundang pro dan kontra di kalangan warganet. Ada yang menganggap hal itu sebaiknya tidak dilakukan, ada juga yang menganggap hal tersebut sebenarnya tidak masalah. ""Video Rit**** bolak balik lewat di TL. Aku ga tau mereka sebelumnya. Sedih & ga habis pikir, Ibunya bbrp kali bikin anaknya nangis, dia tertawa memvideokan. Atau nakut2in anaknya sampai nangis,"" ucap @de***d yang tidak setuju dengan konten tersebut. SCROLL TO CONTINUE WITH CONTENT ""Ih gw masih gemes wkwk. Pdhl banyak loh potongan video hasil didikan umma m*g*, kenapa cuman fokus ke video rit**** nangis dijailin mamanya sih atau gak dia pas dimarahin mamanya karena nih bocil memang aktif banget,"" ucap netizen lain. Terlepas dari kejadian tersebut, psikolog anak Wilma Maharani mengatakan bahwa anak dan orang dewasa memiliki fase yang sangat berbeda. Ini khususnya dalam hal pemahaman, persepsi, dan emosi. Ketika melihat sebuah candaan, anak yang belum memiliki pola pikir seperti orang dewasa bisa melihatnya secara berbeda. ""Kita sudah bisa berpikir abstrak, mereka (anak-anak) masih sulit memahami bahwa sesuatu yang diucapkan atau dilakukan adalah sesuatu hal yang bercanda, atau hanya pura-pura,"" ucap Wilma ketika dihubungi detikcom, Sabtu (31/8/2024). Wilma mengatakan anak mungkin sekali menganggap candaan yang dilakukan adalah hal serius. Kondisi ini dapat berisiko membuat anak merasa sedih hingga kecewa. Oleh karena itu, penting juga untuk orang tua memastikan anak benar-benar mengetahui apa yang sedang dilakukan hanyalah sebuah candaan. Sambil memastikan bercandaan yang dilakukan tidak merendahkan atau membuat kepercayaan diri anak menurun. ""Pastikan bahwa anak dapat memahami konteks bercandaan yang sedang berlangsung saat ini. Orang tua dapat memastikan bahwa anak benar-benar aware kalau kegiatan ini adalah kegiatan bercanda, bukan hal yang serius,"" tandasnya. ",Health
Ternyata Ini Minuman yang Bikin Panjang Umur Menurut Pakar Gizi Jepang,"Sabtu, 31 Agu 2024 12:00 WIB",https://health.detik.com/berita-detikhealth/d-7517883/ternyata-ini-minuman-yang-bikin-panjang-umur-menurut-pakar-gizi-jepang,"Pakar gizi Michiko Tomioka, wanita kelahiran Jepang yang kini menjalani kehidupannya di Amerika Serikat bercerita bagaimana minuman matcha berdampak pada kesehatan. Dalam kebanyakan kasus, terbukti meningkatkan potensi umur panjang warga Jepang. ""Matcha adalah minuman nomor satu saya untuk meningkatkan umur panjang, dan saya meminumnya setiap hari,"" jelas Michiko, dikutip dari CNBC. Michiko tumbuh besar di Nara, Jepang, daerah yang dikelilingi oleh ladang teh dan matcha. Meski kemudian dirinya berkarier di AS, minuman ini selalu dibawa lantaran mengingatkannya kepada budaya warisan tradisional keluarga. SCROLL TO CONTINUE WITH CONTENT ""Saya masih rutin melakukan Chado, upacara minum teh tradisional Jepang untuk menyiapkan teh hijau."" ""Bibi saya yang berusia 99 tahun dan mentor saya yang berusia 98 tahun, yang saya panggil Papa-san, telah membuat matcha mereka sendiri hampir sepanjang hidup mereka. Saya bahkan mewarisi beberapa mangkuk dan peralatan makan matcha mereka."" Michiko menyebut matcha mengandung nutrisi utama seperti vitamin A, C, dan K, serat, protein, juga asam amino l-theanine, yang telah terbukti membantu meningkatkan kualitas tidur, mengurangi stres, dan meningkatkan fungsi kognitif. Kandungan polifenol seperti epigallocatechin gallate (EGCG) juga terdapat pada matcha. Polifenol adalah senyawa alami pada tanaman yang kaya antioksidan dan dapat membantu melawan penyakit dan peradangan. ""Penelitian juga menunjukkan bahwa matcha dapat mengurangi risiko penyakit kardiovaskular dan juga dapat meningkatkan kesehatan usus,"" jelas dia. ""Ada banyak cara untuk mengonsumsi matcha, termasuk makanan manis seperti kue, biskuit, puding chia, dan mochi,"" sambungnya. Namun, Michiko memilih untuk mengolah matcha sesuai dengan budayanya. ""Cara saya menyiapkan semangkuk matcha setiap hari, mulai memanjatkan doa dan semangkuk matcha untuk leluhur saya. Lalu, saya membuat mangkuk untuk diri saya sendiri dan satu untuk anak saya sebelum ia pergi bekerja sebagai terapis fisik. Ritual harian untuk melakukan Chado ini membuat saya merasa damai."" Berikut cara mengonsumsi matcha ala Michiko: ""Selama musim panas, saya terkadang akan memindahkan teh yang sudah disiapkan ke dalam termos portabel dan menambahkan sekitar setengah cangkir es serut untuk camilan segar dan dingin untuk dibawa pulang,"" cerita dia. ",Health
