Judul,Tanggal,Url,Artikel,Category
Hati-hati Ada Lowongan Marshall MotoGP Mandalika yang Minta Duit,"Minggu, 01 Sep 2024 10:03 WIB",https://oto.detik.com/otosport/d-7518889/hati-hati-ada-lowongan-marshall-motogp-mandalika-yang-minta-duit,"Indonesia Tourism Development Corporation(ITDC) mengungkapkan adanya informasi miring terkait perekrutan relawan atau volunteer MotoGP. Salah satunya meminta ongkos dan tarif kepada calon pelamar. ""ITDC tidak pernah membuka lowongan volunteer dengan membebankan ongkos berapa pun. Itu semua gratis,"" kata Direktur Keuangan dan Manajemen Risiko ITDC Troy Reza Warokka dikutip dari Antara. Troy mengatakan perekrutan berbayar itu muncul dalam tiga hari belakangan ini yang mengiming-iming untuk menjadi relawan MotoGP. Ia mengimbau masyarakat untuk tidak tergiur dengan lowongan relawan berbayar tersebut. SCROLL TO CONTINUE WITH CONTENT ITDC memberikan uang hadir dan makan tiga kali sehari untuk setiap relawan yang terlibat serta mendapatkan sertifikat original langsung dari Dorna. Untuk bisa menjadi seorang Marshal pada ajang MotoGP, para calon Marshal harus mendaftarkan diri terlebih dahulu dan melalui beberapa tes dan interview. Sama seperti di sirkuit lainnya, marshal mengemban tugas penting saat balapan berlangsung. Diketahui tugas marshal antara lain, memastikan lintasan sirkuit bersih dan bebas dari rintangan yang berpotensi membahayakan pebalap, mengibarkan bendera, berjaga di area pit lane, berjaga di area starting grid, hingga membantu pebalap yang keluar lintasan dan jatuh di gravel. Tahun lalu marshal di MotoGP Mandalika mendapat bayaran Rp 150 ribu per hari. Dalam sehari itu, marshal MotoGP Mandalika bekerja selama 11 jam. Indonesia akan kembali menjadi tuan rumah MotoGP pada 2024. Sirkuit Mandalika di Lombok dipilih sebagai lokasi untuk menyelenggarakan seri ke-17 pada 29 September, yang artinya lebih awal satu bulan dibandingkan 2023. MotoGP 2024 di Sirkuit Mandalika akan diselenggarakan mulai 27 hingga 29 September 2024. Berikut jadwal detail kegiatannya: 27 September 09.45 Wita: PRACTICE14.00 Wita: FREE PRACTICE 1 28 September 09.10 Wita: FREE PRACTICE 209.50 Wita: QUALIFYING 110.15 Wita: QUALIFYING 214.00 Wita: SPRINT 29 September 09.40 Wita: WARM UP14.00 Wita: RACE ",Oto
4 Tanda Busi Kendaraan Perlu Diganti,"Minggu, 01 Sep 2024 09:36 WIB",https://oto.detik.com/tips-and-tricks/d-7518865/4-tanda-busi-kendaraan-perlu-diganti,"Busi merupakan komponen vital pada kendaraan bermotor, baik mobil maupun sepeda motor. Busi berfungsi sebagai pemantik api yang memicu terjadinya pembakaran di ruang mesin. Oleh sebab itu, komponen busi perlu diperhatikan kondisinya. Ini tanda-tanda busi harus diganti. Seperti disampaikan Product Manager Denso Sales Indonesia (DSIA) Ivana Stella, setidaknya ada empat ciri busi kendaraan bermotor harus diganti. Ciri pertama yakni terjadinya penurunan kinerja mesin. ""Misalnya mesin sulit atau tidak langsung menyala saat dihidupkan, kemudian adanya getaran yang berlebihan dalam keadaan diam (langsam) dan gas terasa berat ketika diinjak,"" ungkap Ivana dalam keterangan resminya. SCROLL TO CONTINUE WITH CONTENT Tanda-tanda selanjutnya adalah konsumsi bahan bakar yang lebih boros. Busi yang aus dapat mengakibatkan peningkatan konsumsi bahan bakar dan mengurangi efisiensi kendaraan. Selain itu, perhatikan warna asap kendaraan yang tak normal. Kendaraan yang mengeluarkan asap berwarna hitam atau abu-abu gelap dapat mengindikasi pembakaran tak sempurna akibat busi yang tidak berfungsi dengan baik. ""Performa busi dapat terlihat dari perubahan warna busi, warna busi yang gelap disebabkan oleh proses pembakaran pada ruangan bahan bakar yang kurang sempurna, jadi asap mobil berwarna hitam sedangkan warna busi kemerahan atau kekuningan menandakan bahwa mesin mobil Anda sering melakukan pemanasan secara berlebihan,"" kata Ivana lagi. Tanda keempat busi tak sehat lagi adalah, suara mesin 'brebet' ketika dilakukan akselerasi. Menurut Ivana, perubahan kecepatan mesin akan membuat rpm naik, sehingga mempercepat kerja mesin dan busi harus bekerja dengan lebih cepat pula. Performa busi yang tidak optimal akan menyebabkan pembakaran tidak sempurna ketika sedang berakselerasi. Jika busi sudah perlu diganti, salah satu opsi yang disarankan adalah busi jenis iridium. Menurut Assistant General Manager DSIA Reinard Winardi, busi iridium mempunyai beberapa keunggulan. ""Antara lain pembakaran sempurna yang menghasilkan elektroda pusat dengan ketebalan hanya 0,4 mm. Semakin tipis elektroda, maka pembakaran semakin sempurna,"" tuturnya. ""Selain itu, busi iridium juga menghasilkan pengapian lebih baik dengan desain U-Groove. Busi iridium juga bisa menghasilkan pembakaran yang lebih efisien juga memiliki ketahanan terhadap karbonisasi,"" ungkap Reinard.  ",Oto
"Terpuruk di Sprint Race MotoGP Aragon, Bagnaia Salahkan Ban dan Aspal Kotor","Minggu, 01 Sep 2024 09:07 WIB",https://oto.detik.com/otosport/d-7518840/terpuruk-di-sprint-race-motogp-aragon-bagnaia-salahkan-ban-dan-aspal-kotor,"Francesco Bagnaia terpuruk di sprint race MotoGP Aragon 2024. Start balapan dari posisi ketiga, posisi Bagnaia terus melorot saat balapan, hingga akhirnya hanya mampu menuntaskan balap di posisi kesembilan. Bagnaia menyebut keterpurukannya berasal dari faktor ban dan kondisi lintasan yang kotor. ""Hal pertama yang saya minta kemarin kepada Komisi Keselamatan adalah meminta mereka membersihkan garis start. Mungkin mereka sudah melakukannya, tapi saat itu hujan turun dan mereka seharusnya membersihkannya lagi (tapi mereka tak melakukannya),"" buka Bagnaia dikutip dari Motosan.  SCROLL TO CONTINUE WITH CONTENT ""Saya melihat betapa kotornya (trek), saya berusaha menghindari kecelakaan, saya melepas kopling lebih pelan, tapi tidak ada yang berubah. Saya beruntung Alex Márquez berhasil menghindari saya, jika tidak maka akan sangat berbahaya. Saya berusaha untuk tidak kehilangan posisi,"" sambung Bagnaia. Selain masalah aspal yang kotor, Bagnaia juga menyebut ban sebagai faktor terpuruknya dia di Sirkuit Aragon. Bagnaia memang tidak menyebut secara spesifik bahwa ban sebagai salah satu faktornya. Tapi dia menegaskan, saat balapan sprint tidak ada masalah pada mesin motornya, pebalapnya, atau kru mekaniknya. ""Saat memasuki tikungan kelima, mencoba melewati Oliveira, saya sadar ada sesuatu yang tidak beres. Roda depan terkunci ketika saya berbelok, mengerem sedikit saja, saya bisa kehilangan nyawa, saya tidak bisa membawa motor saya ke tikungan, itu adalah balapan yang sulit,"" jelasnya. ""Saya akan berdiskusi (masalah ban) dengan Michelin nanti. Yang bisa saya katakan adalah masalah ini bukan datang dari saya, motornya, ataupun kerja tim. Kali ini saya merasakan firasat buruk dan itu adalah sesuatu yang tidak boleh terjadi,"" bilang pebalap berjuluk Pecco. Gara-gara gagal naik podium sprint race MotoGP Aragon 2024, posisi Pecco di klasemen sementara MotoGP 2024 pun berhasil dikudeta Jorge Martin. Martin sukses menyegel tempat kedua di sprint race MotoGP Aragon 2024, di belakang sang juara, Marc Marquez. ",Oto
"Dapat Barcode Buat Beli BBM Subsidi, Harus Dicetak?","Minggu, 01 Sep 2024 08:09 WIB",https://oto.detik.com/berita/d-7518806/dapat-barcode-buat-beli-bbm-subsidi-harus-dicetak,"Ada barcode BBM subsidi yang didapat pemilik kendaraan setelah daftar myPertamina. QR code itu berfungsi untuk setiap melakukan transaksi. Lalu perlukah QR Code itu dicetak? Pemilik kendaraan pengguna BBM subsidi jenis Pertalite diminta untuk mendaftarkan kendaraannya. Hal itu dilakukan agar penyaluran BBM subsidi bisa lebih tepat sasaran. Pertamina sebagai penyalur BBM subsidi sudah membuka pendaftaran sejak pertengahan tahun 2022. Nantinya kendaraan yang berhasil didaftarkan itu akan mendapat barcode atau QR Code yang digunakan saat bertransaksi beli Pertalite di SPBU. SCROLL TO CONTINUE WITH CONTENT Pendaftarannya bisa dilakukan melalui laman http://subsiditepat.mypertamina.id/. Sebelum melakukan pendaftaran, ada baiknya kamu menyiapkan dokumen-dokumen untuk memudahkan pengisian data. Berikut dokumen yang harus disiapkan untuk melakukan pendaftaran: Setelah kendaraan lolos proses verifikasi, maka akan ada QR code yang diberikan. Nah barcode atau QR code ini harus selalu dibawa saat kamu bertransaksi membeli Pertalite. Kalau nggak mau ribet, sebaiknya QR Code tersebut dicetak dan disimpan di mobil. Sehingga memudahkan saat transaksi. ""Untuk kemudahan masyarakat, QR Code bisa dicetak dan dibawa ke SPBU, sehingga tidak wajib mengunduh aplikasi MyPertamina atau membawa handphone ke SPBU. Mekanisme ini masih dikhususkan untuk kendaraan roda empat (mobil),"" jelas Corporate Secretary PT Pertamina Patra Niaga Heppy Wulansari. Diharapkan di akhir Agustus, kendaraan pengguna Pertalite khususnya di wilayah tahap 1 sudah rampung melakukan pendaftaran. Wilayah tahap 1 yang dimaksud adalah Jawa, Madura, Bali, dan sebagian wilayah lain yakni Kepri, NTT, Maluku, Maluku Utara, Gorontalo, Kalimantan Utara, dan Kalimantan Timur. Seperti diketahui, pemerintah berencana membatasi pembelian BBM subsidi Pertalite. Konon hanya kendaraan yang memenuhi kriteria bisa membeli BBM RON 90 keluaran Pertamina tersebut. Pembatasan itu dilakukan agar penyaluran BBM subsidi lebih tepat sasaran. Rencana pembatasan Pertalite ini disebut-sebut akan mulai diberlakukan pada 1 Oktober 2024. Kendati demikian, Presiden Joko Widodo baru-baru ini menegaskan belum ada putusan soal rencana pembatasan tersebut. Jokowi menjelaskan wacana pembatasan pembelian BBM subsidi muncul dari keinginan menyelesaikan masalah polusi udara di Jakarta. Selain itu, menurutnya, hal tersebut juga demi efisiensi APBN. ""Ini berkaitan nanti ya, utamanya di Jakarta dengan polusi. Yang kedua kita juga ingin agar ada efisiensi di APBN kita, terutama untuk yang 2025,"" ungkapnya Di kesempatan terpisah, Menteri Energi dan Sumber Daya Mineral (ESDM) Bahlil Lahadalia mengungkap rencana pembatasan pada 1 Oktober tersebut. Namun untuk implementasinya masih belum dapat dipastikan. ""Memang ada rencana begitu (berlaku 1 Oktober), karena begitu aturannya keluar, Permennya keluar kan itu ada waktu sosialisasi. Nah, waktu sosialisasi ini yang sedang saya bahas,"" ujar Bahlil. ",Oto
"Turun Semua! Ini Harga BBM Pertamina, Shell dan BP","Minggu, 01 Sep 2024 07:33 WIB",https://oto.detik.com/berita/d-7518795/turun-semua-ini-harga-bbm-pertamina-shell-dan-bp,"Harga bahan bakar minyak (BBM) per 1 September 2024 mengalami penurunan. Selain BBM Pertamina yang turun harga, BBM dari SPBU swasta juga lebih murah untuk bulan ini. Memasuki bulan September 2024, semua SPBU menurunkan harga BBM-nya. Sejumlah BBM nonsubsidi mengalami penyesuaian harga di awal bulan September 2024. Berdasarkan pantauan detikOto di sejumlah SPBU seperti Shell dan BP, BBM nonsubsidi harganya turun dibandingkan bulan sebelumnya. Shell Super, misalnya, yang sebelumnya dijual dengan harga Rp 14.520, kini turun menjadi Rp 13.450 per liter. Selanjutnya untuk Shell V-Power yang bulan lalu dijual dengan harga Rp 15.370 per liter, kini harganya turun menjadi Rp 14.280. Lalu untuk BBM Shell V-Power Diesel turun menjadi Rp 14.660 dari sebelumnya Rp 15.810 per liter. Dan Shell V-Power Nitro+ yang awalnya Rp 15.600 per liter turun menjadi Rp 14.480. SCROLL TO CONTINUE WITH CONTENT Selanjutnya BBM dari BP. Bensin BP 92 juga mengalami penurunan harga. Sebelumnya, BP 92 dijual Rp 13.850, turun menjadi Rp 13.450. Kemudian BP Ultimate turun menjadi 14.280 dari awalnya Rp 15.370. Dan BP Ultimate Diesel menjadi Rp 14.660 per liter, turun dari Rp 15.810. BBM dari Pertamina juga mengalami penurunan harga. Dikutip dari situs mypertamina.id, di DKI Jakarta dan provinsi di Pulau Jawa lainnya, Bali, NTT, NTB, Pertamax turun dari harga Rp 13.700 per liter menjadi Rp 12.950 per liter. Sementara Pertamax Green dari Rp 15.000 menjadi Rp 13.650 per liter, Pertamax Turbo dari Rp 15.450 turun menjadi Rp 14.475 per liter, Dexlite dari Rp 15.350 menjadi Rp 14.050 per liter, dan Pertamina Dex dari harga Rp 15.650 menjadi Rp 14.550 per liter. Berikut daftar harga BBM Pertamina, Shell dan BP, khususnya di wilayah Jabodetabek: ",Oto
"Mobil Paus Fransiskus di Indonesia Pakai Pelat SCV 1, Apa Artinya?","Minggu, 01 Sep 2024 07:06 WIB",https://oto.detik.com/mobil/d-7518781/mobil-paus-fransiskus-di-indonesia-pakai-pelat-scv-1-apa-artinya,"Paus Fransiskus akan menumpangi popemobile ketika mengunjungi Indonesia pada 3-6 September 2024. Kendaraan khusus tersebut menggunakan basis Pindad Maung dan memakai pelat 'SCV 1', apa artinya? Disitat dari Portal Informasi Indonesia yang dikelola Kementerian Komunikasi dan Informatika (Kemenkominfo), Sabtu (31/8), popemobil yang dipakai Paus Fransiskus dilaburi kelir putih polos dengan konsep terbuka. Ketika era Paus Yohanes Paulus II, popemobile diberi rumah kaca antipeluru. Popemobile yang akan digunakan pemimpin Takhta Suci Vatikan itu merupakan Maung buatan Pindad. Kendaraan tersebut sudah dimodifikasi sesuai kebutuhan Paus Fransiskus dan menggunakan pelat khusus bertulisan 'SCV 1' di depan dan belakang. SCROLL TO CONTINUE WITH CONTENT Menurut sumber yang sama, SCV merupakan singkatan yang diambil dari bahasa latin, yakni Status Civitatis Vaticanae atau Negara Kota Vatikan. Sementara angka 1 di belakang kemungkinan menandakan dirinya sebagai pemimpin atau tokoh yang dihormati. Maung yang dibuat khusus untuk membawa Paus Fransiskus berkeliling stadion menyapa warga itu berdesain semiterbuka dengan penutup khusus di bagian depan. Sedangkan bagian belakang terdapat pintu dan tangga kecil yang bisa digunakan Paus Fransiskus sebagai akses naik-turun kendaraan. Ryan Prasastyo selaku Corporate Communication Executive PT Pindad (Persero) memastikan, popemobil yang dipakai Paus Fransiskus di Indonesia menggunakan basis Pindad Maung MV3 Tangguh yang telah disesuaikan dengan kebutuhan. ""Betul, basis kendaraannya pakai Maung MV3 Tanggung yang sudah dimodifikasi untuk mengakomodir kebutuhan operasional Paus,"" ujar Ryan kepada detikOto, Sabtu (1/9).  [Gambas:Instagram]  Sayangnya, ketika ditanya lebih detail soal ubahannya, Ryan belum bisa mengungkapnya. Dia memastikan, hal tersebut akan disampaikan dalam waktu dekat. ""Untuk apa saja ubahannya, nanti kalau sudah ada rilis, kami akan sampaikan ya,"" kata dia. Sebagai catatan, Pindad Maung saat ini hadir dengan tiga varian berbeda, yakni Maung Tangguh, Maung Jelajah, dan Maung Komando. Khusus untuk Maung Tangguh, kendaraan tersebut memang didesain terbuka. Pindad Maung MV3 Tangguh punya dimensi panjang 4.977 mm, lebar 2.000 mm, dan tinggi 1.820 mm. Kendaraan tersebut dibekali mesin turbo diesel 2.200cc dengan daya maksimum 199 HP dan torsi 441 Nm. ",Oto
"Daftar Harga Kijang Innova Reborn 2024, Mulai Rp 380 Jutaan","Sabtu, 31 Agu 2024 19:10 WIB",https://oto.detik.com/mobil/d-7518386/daftar-harga-kijang-innova-reborn-2024-mulai-rp-380-jutaan,"Kijang Innova Reborn masih ada model barunya. Berikut ini daftar harga Kijang Innova Reborn terbaru. Kijang Innova Reborn model terbaru masih dijual. Meski begitu, buat kamu yang berminat, harap sedikit bersabar untuk menunggu mobil diantar ke rumah. Pasalnya, Innova Reborn saat ini dijual dengan status Spot Order. Mobil dengan status Spot Order artinya masa indennya sekitar 3 bulan, namun tak menutup kemungkinan bisa lebih cepat. Kijang Innova Reborn saat ini tersedia dengan pilihan mesin bensin dan juga diesel. Harganya bervariasi tergantung dengan modelnya. Berikut ini daftar harga Toyota Kijang Innova Reborn dikutip dari Auto2000. SCROLL TO CONTINUE WITH CONTENT Sekadar informasi tambahan Kijang Innova Reborn bensin hadir dengan mesin berkode 1TR-FE empat silinder segaris 16 katup DOHC Dual VVT-i berkapasitas 1.998 cc. Tenaga maksimal mesin bensin itu mencapai 139 PS pada 5.600 rpm dengan torsi maksimal 183,3 Nm pada 4.000 rpm. Innova bensin ditawarkan dengan pilihan transmisi otomatis 6 percepatan dengan Sport Sequential Switchmatic, atau transmisi manual 5 percepatan. Sementara Toyota Kijang Innova Reborn diesel dilengkapi dengan mesin berkode 2GD FTV dengan empat silinder segaris 16 katup DOHC dengan VNT Intercooler. Mesin diesel Innova berkapasitas 2.393 cc. Tenaga maksimalnya mencapai 149 PS pada 3.400 rpm dengan torsi maksimal 342,2 Nm yang tersedia pada rentang 1.200-2.800 rpm. Bicara fitur, Innova Reborn diesel sudah mengusung sistem pengereman ABS dan EBD, kemudian ada juga vehicle stability control, hill start assist control, dan emergency brake signal. Terdapat pula airbag yang terletak di depan dan lutut pengendara. ",Oto
"Daftar Harga Mobil China di Indonesia, Mulai Rp 150 Jutaan","Sabtu, 31 Agu 2024 16:33 WIB",https://oto.detik.com/mobil/d-7518240/daftar-harga-mobil-china-di-indonesia-mulai-rp-150-jutaan,"Mobil China hadir di Indonesia dengan banderol harga yang terjangkau. Berikut ini daftar harga mobil China yang dijual di Indonesia, mulai Rp 150 jutaan. Semakin ke sini, makin banyak mobil China berdatangan ke Indonesia. Menariknya, kebanyakan menawarkan harga yang cukup terjangkau. Bila dirunut dari seluruh merek China di Tanah Air, harga paling murahnya sekitar Rp 150 jutaan. Mobil China Rp 150 jutaan itu menghuni segmen kendaraan komersial. Kendati demikian, ada juga beberapa merek China yang masuk ke segmen premium. Banderol harganya pun tembus miliaran. SCROLL TO CONTINUE WITH CONTENT Nah untuk mengetahui lebih lengkapnya, berikut ini daftar harga mobil China yang dijual di Indonesia.       ",Oto
"MotoGP Mandalika Kurang Biaya, Panitia Tunggu Bantuan Pemerintah Pusat","Sabtu, 31 Agu 2024 15:54 WIB",https://oto.detik.com/otosport/d-7518197/motogp-mandalika-kurang-biaya-panitia-tunggu-bantuan-pemerintah-pusat,"Injourney Tourism Development Corporation (ITDC) dan Mandalika Grand Prix Association (MGPA) menunggu bantuan pemerintah pusat untuk membayar hosting fee MotoGP Mandalika sebesar Rp 231 miliar. Sebab, nominal itu terlalu besar jika hanya ditanggung pemerintah provinsi, kota dan kabupaten. Sebagai pengingat, hosting fee MotoGP Mandalika 2022 ditanggung pemerintah pusat melalui Kementerian Pariwisata dan Ekonomi Kreatif (Kemenparekraf). Kemudian, pada MotoGP Mandalika 2023, Kemenparekraf menyumbang hosting fee sebesar Rp 78,8 miliar dalam bentuk belanja iklan Wonderful Indonesia. Namun, sebulan menjelang MotoGP Mandalika 2024, Kemenparekraf dan pemerintah pusat lain belum memberikan dana bantuan. Padahal, itu yang saat ini sedang ditunggu-tunggu penyelenggara. SCROLL TO CONTINUE WITH CONTENT ""Kita berharap ada dukungan pemerintah pusat, misalnya dukungan Kemenparekraf dengan Wonderful Indonesia-nya. Kalau ditanya bagaimana dukungan Kemenparekraf, sampai sekarang belum ada titik terang,"" ujar Chairman MotoGP Mandalika, Troy Reza Warokka kepada detikOto, Jumat (30/8). ""Ini kerja bersama, bukan ITDC dan MGPA semata. Nggak mampu kita kalau ngurusin pembayaran hosting fee Rp 200 miliar lebih, karena kita korporasi, BUMN yang di satu pihak harus memberikan kinerja positif secara perusahaan,"" tambahnya. Troy menegaskan, bagaimana pun juga, MotoGP Mandalika 2024 tetap harus digelar. Sebab, menurutnya, kejuaraan tersebut membawa banyak dampak baik untuk Indonesia, terutama kawasan Nusa Tenggara Barat (NTB). ""Karena begitu MotoGP dilaksanakan di NTB, perputaran ekonominya meningkat dari berbagai aspek, seperti pariwisata, bisnis dan yang lain. Itu langsung melonjak. Jadi kalau itu berjalan, ongkos promosinya lebih efektif ketimbang roadshow ke mana-mana,"" tuturnya. Di kesempatan yang sama, Troy mengaku akan berusaha membayar hosting fee sebelum MotoGP Mandalika 2024 dimulai. Namun, jika upayanya tak menemukan titik terang, maka ITDC dan MGPA akan meminta Dorna untuk menunda pembayaran hosting fee hingga setelah perlombaan. ""Kalau tidak terbayar, kita upayakan sesudah race. Ini ada jaminan-jaminan. Apa jaminannya? Kita belum tau. Paling tidak nama saya sebagai chairman dipertaruhkan, bahwa ada kepercayaan yang harus dijaga. Ini perlu kerja bersama, bukan cuma ITDC dan MGPA saja,"" kata dia. ",Oto
"Dampak Terlalu Lama Memanaskan Mobil, Jangan Lakukan!","Sabtu, 31 Agu 2024 15:10 WIB",https://oto.detik.com/mobil/d-7518129/dampak-terlalu-lama-memanaskan-mobil-jangan-lakukan,"Sebelum berkendara, sebaiknya mesin mobil dipanaskan terlebih dahulu. Hal ini bisa membantu mengurangi risiko kerusakan mesin, mengisi daya aki, dan mengecek kondisinya. Meski begitu, kamu perlu mengetahui berapa lama waktu yang dibutuhkan untuk memanaskan mobil. Jangan sampai terlalu lama memanaskan mobil, sebab nantinya bisa memberikan dampak yang buruk. Memanaskan mobil tidak boleh dilakukan sembarangan. Jika dipanaskan terlalu lama, berikut dampak yang bisa terjadi: SCROLL TO CONTINUE WITH CONTENT Terlalu lama memanaskan mobil bisa membawa dampak negatif pada lingkungan. Proses pembakaran bahan bakar ketika memanaskan mobil menghasilkan karbon monoksida dan nitrogen oksida, yang meningkatkan polusi udara di lingkungan sekitar. Menurut laman Suzuki, mobil yang terlalu lama dipanaskan dalam kondisi idle atau tidak jalan akan membuat pembakaran yang tidak sempurna di ruang bakar. Dampak buruknya adalah ruang silinder yang tepatnya di bagian dinding akan mengering. Penyebabnya adalah sisa bahan bakar tidak terbakar dan malah menempel pada dinding silinder. Efek ini membuat minyak pelumas tidak bekerja melumasi bagian dinding. Gas buang yang dihasilkan mesin mobil mengandung uap air. Terlalu lama memanaskan mobil akan membuat uap air berkumpul di pipa knalpot dan mempercepat proses pembentukan karat. Mengutip laman Astra Daihatsu, saat mobil dalam kondisi stasioner dan terus dipanaskan, mesin akan terus mengkonsumsi bensin tanpa alasan yang jelas. Hal tersebut sebanding dengan kondisi mobil yang terjebak dalam kemacetan lalu lintas. Tentunya proses ini akan membuat boros bensin. Untuk jenis mobil biasa, waktu yang tepat untuk memanaskan mobil adalah 10-15 menit. Sementara untuk mobil yang sudah menggunakan teknologi injeksi, waktu memanaskan mobil hanya 30 detik sampai 1 menit. Menurut laman Nissan, kamu bisa mengetahui kesiapan mesin dengan melihat indikator temperatur mesin. Jika mesin sudah siap, jarum temperatur akan naik perlahan menuju posisi tengah. Itulah penjelasan mengenai dampak memanaskan mobil terlalu lama. Jadi, pastikan kamu memanaskan mobil dalam durasi yang tepat ya detikers. ",Oto
